"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IFT80",226.378944866209,-0.142939537736322,0.581125494280673,-0.245970171921738,0.805705322614,0.992985425526202
"SMC4",2542.68206591701,0.460865149116018,0.356068746433364,1.29431508306294,0.195556608649832,0.728900947073166
"MIR15B",1.48791569229207,0.142454020173699,7.5223648493941,0.0189373984146984,0.9848910452635,NA
"MIR16-2",1.64212605302108,-0.287465792075429,7.51843233506973,-0.0382348047124857,0.969500471027303,NA
"TRIM59",449.374220961585,-0.0866338131661321,0.547628200990852,-0.158198231956245,0.874300596906,0.997866766061574
"KPNA4",2434.19614321541,-0.0818825742474728,0.265923199307245,-0.307918129974311,0.758144629894439,0.985781744127495
"SCARNA7",12.3921011112614,0.932325650809723,2.15086875328377,0.433464686948621,0.664677215163584,0.968616621596611
"KRT8P12",19.5120248665582,0.123138214178882,2.50383010660163,0.0491799399065512,0.960775897554691,0.99923753558823
"RPL6P8",1.29311971197666,-5.97684357249334,7.2461696403768,-0.82482799452961,0.4094692508232,NA
"ARL14",69.3631154220412,-0.577248764304117,2.80672377234677,-0.205666396526604,0.837051509066086,0.994617586770461
"PPM1L-DT",5.24041502683388,0.928940492809786,4.93034401036102,0.188412916189547,0.850552975364424,NA
"PPM1L",521.808334608845,-0.261282533446716,0.7089606688105,-0.368543058792102,0.712468344660069,0.980273135730129
"B3GALNT1",223.235575105495,0.769243856301286,0.853278687532954,0.901515375387338,0.367314362600057,0.857865008523557
"NMD3",995.144845010053,-0.100716215679353,0.340683165944228,-0.295630150671552,0.767512545383828,0.987300507195251
"SPTSSB",230.183873245513,-0.01495032590524,2.37479111502974,-0.00629542775809687,0.994977008567063,0.99923753558823
"LINC02067",1.16595354516263,0.785866153250558,7.50975330239884,0.10464606780086,0.916656658539705,NA
"SI",1.47248532097761,-1.4727891269168,7.50587710588363,-0.196218124296536,0.844439442660216,NA
"SLITRK3",7.56941067790512,0.798574756939728,4.17732546411305,0.191168910299233,0.848393260376876,NA
"BCHE",185.413420849275,0.0604889778654973,0.837480291035755,0.0722273449452613,0.942420983880331,0.998719217874378
"ZBBX",51.1275595646736,-1.59648686981752,1.6871105772617,-0.946284666419871,0.344003412081252,0.845817143445776
"WDR49",2.84747611986167,0.991635015231937,7.47135647667556,0.132724896520153,0.894410952481619,NA
"PDCD10",1237.49761099015,-0.316552681449407,0.329585055255253,-0.960458238023711,0.336824639650393,0.842423645524762
"HMGN1P8",11.2591127483982,-0.277926159390492,2.70100630660765,-0.102897264145805,0.918044509071754,0.997894714965317
"SERPINI1",39.1521336976998,-1.43628721362467,0.920975022033259,-1.55952895492621,0.118871236917782,0.610526308247364
"GOLIM4",1651.09814405533,0.47923433601171,0.282944083647946,1.69374220458343,0.0903142808409179,0.548256155387655
"EGFEM1P",69.3486913307525,5.82429615545945,2.44903546412446,2.37820000599365,0.0173973866723442,0.270908866235772
"MIR551B",7.05910578358647,-0.239890437780989,4.411201578281,-0.0543821073519093,0.956630734022344,NA
"LINC02082",2.4972803552821,3.44958124975583,7.4005792266416,0.46612314308285,0.641127358575486,NA
"MECOM",2678.41962735959,-0.522733375615626,0.474603554571758,-1.10141057853495,0.270718003454538,0.79649107310246
"MECOM-AS1",78.5112887898637,-3.92982387176443,1.44181140095949,-2.72561575608934,0.00641816667519785,0.162793931336649
"RPL22P1",18.6175951585919,1.27979932902279,1.58462944228015,0.80763318847671,0.419301775262252,0.883196135455712
"ACTRT3",37.887549497985,0.40477357039957,1.71159595824715,0.236488973024978,0.813053262899073,0.992985425526202
"MYNN",262.579808983925,-0.295529668225853,0.495542642519699,-0.596375857228281,0.550924165205867,0.942687262943004
"LRRC34",14.8350413682832,-3.16062925967195,2.52923263630587,-1.24963959989394,0.211431230489766,0.746628819192167
"LRRC31",3.43228895256763,-1.5462585648029,7.48690365575603,-0.206528444320786,0.836378148288851,NA
"SEC62",5326.23456397111,0.326061019265972,0.186759689907639,1.74588541792516,0.0808308642276359,0.526116517603652
"GPR160",144.535287430378,-0.267561452981828,1.1792885011385,-0.22688379707215,0.820514101597728,0.993690725568951
"RNU4-38P",2.00512155841333,1.26859108663002,7.47575312417541,0.169694085071857,0.865250726035317,NA
"PHC3",850.118302571288,0.45407001669653,0.255685464692136,1.77589295990393,0.0757505615588874,0.510734606189111
"PRKCI",800.158692268988,0.177111911879705,0.293732792037109,0.602969490234272,0.546528985949108,0.941879530091782
"SKIL",587.127847496735,-0.0613568507613694,0.766013896562222,-0.0800988742328716,0.936158618104524,0.998248352301481
"CLDN11",2639.84878987313,-0.98350220288636,0.694229264416532,-1.41668214420916,0.156575879835685,0.671845608191454
"SLC7A14",7.32284785045489,3.8908570080336,4.08194638159204,0.953186701711669,0.340495483007184,NA
"RPL22L1",3638.11008025543,0.460164017451482,0.343592893841549,1.33927105507511,0.180482448053633,0.708756374698709
"EIF5A2",118.551983832345,0.695293802318064,0.740777938807346,0.938599499112363,0.347936410061632,0.849013289392104
